label,smarts,count
C1=NCN=C1,[#6H2]1-[#7]=[#6H]-[#6H]=[#7]-1,1
O=[C]([R])ON=C1SC(=[N][R])C=C1[N]([R])[R],[#0:1]-[#7](-[#0:2])-[#6]1=[#6H]-[#6](-[#16]-[#6]-1=[#7]-[#8]-[#6](=[#8])-[#0:3])=[#7]-[#0:4],1
O[S](O)([R])[R],[#0:1]-[#16](-[#8])(-[#8])-[#0:2],1
C=C(C=O)[S][R],[#0:1]-[#16]-[#6](-[#6]=[#8])=[#6H],1
C=CC(=O)[N]=[Car],[#0:1]=[#7]-[#6](=[#8])-[#6]=[#6H],1
[R][N]1C=C[N]([R])C1,[#0:1]-[#7]1-[#6]-[#7](-[#0:2])-[#6H]=[#6H]-1,1
O=[C]([R])[N]([R])[N]([R])[CH]=[Car],[#6H](=[#0:1])-[#7](-[#7](-[#6](-[#0:2])=[#8])-[#0:3])-[#0:4],1
S=C([N]([R])[R])[N]([R])CN=C[O][R],[#0:1]-[#7](-[#6](=[#16])-[#7](-[#6H]/[#7]=[#6H]\[#8]-[#0:2])-[#0:4])-[#0:3],1
N#C[N]([R])CN([C](=O)[R])[S](=O)(=O)[R],[#0:1]-[#7](-[#6]#[#7])-[#6]-[#7](-[#6](=[#8])-[#0:2])-[#16](-[#0:3])(=[#8])=[#8],1
C=C(C(=O)O)N1C(=O)C([O][R])([N]([R])C(=O)C2SC(=C(C(=O)O)C(=O)[N]([R])[R])S2)C1[S][R],[#0:1]-[#8]-[#6]1(-[#7](-[#6](=[#8])-[#6]2-[#16]-[#6](=[#6](-[#6](-[#7](-[#0:4])-[#0:5])=[#8])-[#6](=[#8])-[#8])-[#16]-2)-[#0:3])-[#6](=[#8])-[#7](-[#6](-[#6](=[#8])-[#8])=[#6H2])-[#6H]-1-[#16]-[#0:2],1
O=C([O][R])OCSP(=O)([O][R])[O][R],[#0:1]-[#8]-[#15](=[#8])(-[#8]-[#0:2])-[#16]-[#6]-[#8]-[#6](=[#8])-[#8]-[#0:3],1
O=[S](=O)([R])N=[S]([R])[O][R],[#0:1]-[#8]/[#16](=[#7]\[#16](=[#8])(=[#8])-[#0:2])-[#0:3],1
C=CC(=O)C1CO1,[#6H2]=[#6]-[#6](=[#8])-[#6H]1-[#8]-[#6H2]-1,1
O=[C]([R])C(=CC=C[N]([R])[R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])/[#6](=[#6]/[#6]=[#6]/[#7](-[#0:2])-[#0:3])-[#6](-[#0:4])=[#8],1
O=C(C=[CH][Nar])[O][R],[#0:1]-[#8]-[#6](=[#8])/[#6]=[#6]/[#7],1
C=CC=C(C(=O)[O][R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6]-[#6]=[#6H])-[#6](=[#8])-[#8]-[#0:2],1
O=C([O][R])C(=CC=C[N]([R])[R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6]/[#6]=[#6]/[#7](-[#0:2])-[#0:3])-[#6](=[#8])-[#8]-[#0:4],1
O=[C]([R])C=C(C(=O)[O][R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6](=[#6]-[#6](=[#8])-[#0:2])-[#6](=[#8])-[#8]-[#0:3],1
O=C(C=C[N]([R])C(=O)[N]([R])[C](=O)[R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#6H]-[#7](-[#6](=[#8])-[#7](-[#6](-[#0:2])=[#8])-[#0:3])-[#0:4],1
N#CC(=CC(=O)[O][R])[N]([R])C=CC(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#6](-[#6]#[#7])-[#7](-[#6H]=[#6H]-[#6](=[#8])-[#8]-[#0:2])-[#0:3],1
O=C([O][R])C1=C(C(=O)[O][R])[N]([R])CO1,[#0:1]-[#8]-[#6](=[#8])-[#6]1=[#6](-[#6](=[#8])-[#8]-[#0:2])-[#8]-[#6H]-[#7]-1-[#0:3],1
O=C(C=NN(CO)[C](=O)[R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#6H]=[#7]-[#7](-[#6](=[#8])-[#0:2])-[#6H2]-[#8],1
O=[C]([R])C=CC1=CC(=C[C](=O)[R])OCO1,[#0:1]-[#6](=[#8])-[#6H]=[#6]1-[#8]-[#6]-[#8]-[#6](/[#6H]=[#6]/[#6](-[#0:2])=[#8])=[#6H]-1,1
O=[N+]([OH+126])[O][R],[#0:1]-[#8]-[#7+](=[#8])-[#8H+126],1
[R][N]([R])[CH]=[Car],[#0:1]=[#6]-[#7](-[#0:2])-[#0:3],1
C=C1SC([N]([R])[C](=O)[R])=NC1=O,[#6H]=[#6]1-[#16]-[#6](-[#7](-[#6](-[#0:1])=[#8])-[#0:2])=[#7]-[#6]-1=[#8],1
[O-][N+](O)([R])[R],[#0:1]-[#7+](-[#8-])(-[#8])-[#0:2],1
C=CC(=O)[N]([R])S(=O)(=O)[N]([R])[R],[#0:1]-[#7](-[#16](=[#8])(=[#8])-[#7](-[#6](=[#8])-[#6]=[#6H])-[#0:3])-[#0:2],1
O=[C]([R])C=CC=N[O][R],[#0:1]-[#8]-[#7]=[#6H]-[#6H]=[#6]-[#6](-[#0:2])=[#8],1
ON=C1C=CC(=NO)C([O][R])=C1,[#0:1]-[#8]-[#6]1=[#6]-[#6](=[#7]-[#8])-[#6]=[#6]-[#6]-1=[#7]-[#8],1
O=C([O][R])[N]1[R][C](=O)N1C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#7]1-[#6](=[#8])-[#0:2]-[#7]-1-[#6](=[#8])-[#8]-[#0:3],1
O=C1[O][R][C](=O)C1=CO,[#6H](-[#8])=[#6]1-[#6](=[#8])-[#8]-[#0:1]-[#6]-1=[#8],1
O=[C]([R])[N]([R])C(=S)[N]([R])[N]([R])C(=O)[O][R],[#0:1]-[#8]-[#6](=[#8])-[#7](-[#7](-[#6](=[#16])-[#7](-[#6](=[#8])-[#0:2])-[#0:5])-[#0:4])-[#0:3],1
O=C([O][R])[N]([R])[N]([R])[S](=O)(=O)[R],[#0:1]-[#8]-[#6](=[#8])-[#7](-[#7](-[#16](=[#8])(=[#8])-[#0:2])-[#0:4])-[#0:3],1
O=C([O][R])[N]([R])[O][R],[#0:1]-[#8]-[#6](=[#8])-[#7](-[#8]-[#0:2])-[#0:3],1
O=C(O)C([O][R])[N]([R])[C](=O)[R],[#0:1]-[#8]-[#6](-[#7](-[#6](=[#8])-[#0:2])-[#0:3])-[#6](=[#8])-[#8],1
O=C([O][R])[N]([R])C(=S)[N]([R])[R],[#0:1]-[#8]-[#6](=[#8])-[#7](-[#6](=[#16])-[#7](-[#0:2])-[#0:4])-[#0:3],1
O=C(C([O][R])[S][R])[N]([R])[R],[#0:1]-[#8]-[#6](-[#16]-[#0:2])-[#6](-[#7](-[#0:3])-[#0:4])=[#8],1
C=C[CH]=[Car],[#6H2]=[#6]-[#6H]=[#6H],1
[R][O]CO[O][R],[#0:1]-[#8]-[#6H2]-[#8]-[#8]-[#0:2],1
[R][O]C([O][R])C([O][R])[N]([R])[R],[#0:2]-[#8]-[#6H](-[#6H](-[#8]-[#0:3])-[#8]-[#0:4])-[#7](-[#0:5])-[#0:1],1
OC=C[O][R],[#0:1]-[#8]-[#6H]=[#6H]-[#8],1
O=[C]([R])C([O][R])=C([O][R])[C](=O)[R],[#0:1]-[#8]-[#6](=[#6](-[#8]-[#0:2])-[#6](=[#8])-[#0:3])-[#6](-[#0:4])=[#8],1
C=C1N=CC=C1[O][R],[#0:1]-[#8]-[#6]1=[#6]-[#6H]=[#7]-[#6]-1=[#6H],1
O=[C]([R])[N]([R])COP(=O)(O)O,[#0:1]-[#7](-[#6]-[#8]-[#15](=[#8])(-[#8])-[#8])-[#6](=[#8])-[#0:2],1
O[N]([R])C=CC(=[N][R])[O][R],[#0:1]-[#8]-[#6](=[#7]-[#0:2])-[#6H]=[#6]-[#7](-[#8])-[#0:3],1
C=NC=[S][R],[#0:1]-[#16]=[#6H]-[#7]=[#6H2],1
C=C1SC([S][R])=NC1=O,[#6H]=[#6]1-[#16]-[#6](-[#16]-[#0:1])=[#7]-[#6]-1=[#8],1
O=[C]([R])[N]([R])N(CO)C(=O)[O][R],[#0:1]-[#6](=[#8])-[#7](-[#7](-[#6](=[#8])-[#8]-[#0:2])-[#6H2]-[#8])-[#0:3],1
C#CBr,[#6H]#[#6]-[#35],1
O=[C]([R])C(C=[N][R])=C[N]([R])[R],[#0:1]-[#6](=[#8])-[#6](=[#6H]-[#7](-[#0:2])-[#0:4])-[#6]=[#7]-[#0:3],1
O=C(O)C=S,[#6H](=[#16])-[#6](=[#8])-[#8],1
O=C(C([S][R])[S][R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6](-[#16]-[#0:2])-[#16]-[#0:3])-[#0:4],1
O=C(SC(=[N][R])[S][R])[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#16]-[#6](=[#7]-[#0:2])-[#16]-[#0:3])-[#0:4],1
C=Nc1c[n]([R])[n]([R])c1=[N][R],[#6H2]=[#7]-[#6]1=[#6H]-[#7](-[#7](-[#6]-1=[#7]-[#0:1])-[#0:3])-[#0:2],1
O=CC=CCl,[#6H](-[#17])=[#6H]-[#6]=[#8],1
C=C(Br)[N+](=O)[O-],[#6H]=[#6](-[#35])-[#7+](=[#8])-[#8-],1
C=CC(=O)[N]([R])C(=S)[N]([R])[N]([R])[C](=O)[R],[#6H]=[#6]-[#6](=[#8])-[#7](-[#6](=[#16])-[#7](-[#7](-[#6](=[#8])-[#0:1])-[#0:4])-[#0:3])-[#0:2],1
C=CC(=O)[N]([R])C(=S)[N]([R])[N]([R])C(=O)[O][R],[#6H]=[#6]-[#6](=[#8])-[#7](-[#6](=[#16])-[#7](-[#7](-[#6](=[#8])-[#8]-[#0:1])-[#0:4])-[#0:3])-[#0:2],1
C=CC=NN=C[N]([R])[R],[#6H]=[#6]/[#6]=[#7]/[#7]=[#6H]/[#7](-[#0:1])-[#0:2],1
C=C1SC(=O)N=C1O,[#6H]=[#6]1-[#16]-[#6](=[#8])-[#7]=[#6]-1-[#8],1
O=[C]([R])N(C[N]([R])[R])[N]([R])[R],[#0:1]-[#6](=[#8])-[#7](-[#7](-[#0:2])-[#0:4])-[#6H]-[#7](-[#0:3])-[#0:5],1
O=[C]([R])C=C[N]([R])N([C](=O)[R])[C](=O)[R],[#0:1]-[#6](=[#8])/[#6]=[#6]/[#7](-[#7](-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8])-[#0:4],1
C=C(C=C[O][R])C(=O)[N]([R])[R],[#0:1]-[#7](-[#6](=[#8])-[#6](=[#6H])-[#6]=[#6]-[#8]-[#0:2])-[#0:3],1
C=C1C(=O)OCOC1=O,[#6H]=[#6]1-[#6](=[#8])-[#8]-[#6H2]-[#8]-[#6]-1=[#8],1
O=C([CH]=[Car])[N]([R])[R],[#0:1]=[#6]-[#6](=[#8])-[#7](-[#0:2])-[#0:3],1
O=C1C=CC([O][R])O1,[#6H]1=[#6H]-[#6H](-[#8]-[#0:1])-[#8]-[#6]-1=[#8],1
C=CN=CC=CN=C[N]([R])[R],[#6H](=[#6]-[#6H]=[#7]-[#6]=[#6H2])-[#7]=[#6H]-[#7](-[#0:1])-[#0:2],1
C1=NCOCS1,[#6H]1=[#7]-[#6]-[#8]-[#6]-[#16]-1,1
N#CC=C(OC=C[C](=O)[R])[N]([R])[R],[#6H](-[#6]#[#7])=[#6](-[#7](-[#0:2])-[#0:3])-[#8]-[#6H]=[#6H]-[#6](=[#8])-[#0:1],1
O=C(C=CN=C([S][R])[N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#6](-[#16]-[#0:2])=[#7]-[#6H]=[#6H]-[#6](=[#8])-[#7](-[#0:3])-[#0:5])-[#0:4],1
N#CN=C([N]([R])[R])[N]([R])C[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6H]-[#7](/[#6](=[#7]/[#6]#[#7])-[#7](-[#0:2])-[#0:5])-[#0:4])-[#0:3],1
O=C(O)[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](=[#8])-[#8])-[#0:2],1
O=C1C=CC(=O)O1,[#6H]1=[#6]-[#6](=[#8])-[#8]-[#6]-1=[#8],1
C=CC(=C)F,[#6H]=[#6]-[#6](-[#9])=[#6H],1
O=[C]([R])C=C1SC=C[N]1[R],[#6H]1=[#6]-[#16]/[#6](=[#6]/[#6](-[#0:1])=[#8])-[#7]-1-[#0:2],1
O=[C]([R])C(Cl)=N[N]([R])[R],[#0:1]-[#7](/[#7]=[#6](/[#17])-[#6](-[#0:2])=[#8])-[#0:3],1
O=[C]([R])O[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#8]-[#6](=[#8])-[#0:2])-[#0:3],1
O=C1[N]([R])C[N]([R])C[N]1[Nar],[#0:1]-[#7]1-[#6]-[#7](-[#0:2])-[#6](=[#8])-[#7](-[#7])-[#6]-1,1
C=C([O][R])n1c(=[N][R])nc[n]1[R],[#0:1]-[#8]-[#6](=[#6H])-[#7]1-[#6](=[#7]-[#0:2])-[#7]=[#6H]-[#7]-1-[#0:3],1
O=[C]([R])[N]([R])C(=O)C=C[N]([R])[Nar],[#0:1]-[#7](-[#6](=[#8])/[#6H]=[#6]\[#7](-[#7])-[#0:3])-[#6](-[#0:2])=[#8],1
O=C1C=N[N]([R])C([S][R])[N]1[R],[#0:1]-[#16]-[#6]1-[#7](-[#7]=[#6H]-[#6](=[#8])-[#7]-1-[#0:2])-[#0:3],1
O=S(=O)(O)[N]([R])[N]([R])[R],[#0:1]-[#7](-[#7](-[#16](=[#8])(=[#8])-[#8])-[#0:3])-[#0:2],1
O=[S](=O)([R])N=C[N]([R])[O][R],[#0:1]-[#8]-[#7](-[#6H]=[#7]-[#16](=[#8])(=[#8])-[#0:2])-[#0:3],1
C=C[N]([R])C=[N][R],[#6H]=[#6]-[#7](/[#6]=[#7]/[#0:2])-[#0:1],1
S=P([O][R])([N]([R])[R])[N]([R])[R],[#0:2]-[#7](-[#15](=[#16])(-[#8]-[#0:3])-[#7](-[#0:1])-[#0:5])-[#0:4],1
C=C([N]([R])[R])[N]([R])[C](=O)[R],[#0:1]-[#7](-[#6](=[#8])-[#0:2])-[#6](=[#6H2])-[#7](-[#0:3])-[#0:4],1
O=[C]([R])C(=N[N]([R])[C](=O)[R])[S][R],[#0:1]-[#7](/[#7]=[#6](/[#16]-[#0:2])-[#6](-[#0:3])=[#8])-[#6](-[#0:4])=[#8],1
O=[C]([R])[N]([R])C(=O)C1N=C([N]([R])[R])[N]([R])C([N]([R])[R])=N1,[#0:1]-[#7](-[#6]1=[#7]-[#6H](-[#7]=[#6](-[#7](-[#0:5])-[#0:6])-[#7]-1-[#0:7])-[#6](=[#8])-[#7](-[#6](-[#0:2])=[#8])-[#0:3])-[#0:4],1
C=C(C(=O)OCOC(=O)[O][R])N(C[S][R])[C](=O)[R],[#6H2]=[#6](-[#6](=[#8])-[#8]-[#6H]-[#8]-[#6](=[#8])-[#8]-[#0:1])-[#7](-[#6](=[#8])-[#0:2])-[#6H2]-[#16]-[#0:3],1
C=C(C(=O)[N]([R])CO)[N]([R])[C](=O)[R],[#0:1]-[#7](-[#6](=[#8])-[#6](-[#7](-[#6](=[#8])-[#0:2])-[#0:3])=[#6H])-[#6H2]-[#8],1
O=[C]([R])O[O][R],[#0:1]-[#6](=[#8])-[#8]-[#8]-[#0:2],1
O=S(=O)(O)ON=CSC[O][R],[#6H](=[#7]-[#8]-[#16](=[#8])(=[#8])-[#8])-[#16]-[#6H2]-[#8]-[#0:1],1
O=[S](=O)([R])N=C[N]([R])C(=[N][R])[S][R],[#0:1]-[#16]-[#6](=[#7]-[#0:3])-[#7](-[#6H]=[#7]-[#16](=[#8])(=[#8])-[#0:2])-[#0:4],1
O=[C]([R])[N]([R])C(=O)[N]([R])C(=O)[S][R],[#0:1]-[#16]-[#6](=[#8])-[#7](-[#6](=[#8])-[#7](-[#6](=[#8])-[#0:2])-[#0:4])-[#0:3],1
ClC(C=C[N]([R])[R])=C(C=[N+]([R])[R])C=[N+]([R])[R],[#0:1]-[#7](-[#0:2])/[#6]=[#6]/[#6](-[#17])=[#6](-[#6]=[#7+](-[#0:3])-[#0:4])-[#6]=[#7+](-[#0:5])-[#0:6],1
FC=C(F)F,[#6H](-[#9])=[#6](-[#9])-[#9],1
[R][N]([R])N=CC=N[N]([R])[R],[#6H](/[#6]=[#7]/[#7](-[#0:1])-[#0:3])=[#7]/[#7](-[#0:2])-[#0:4],1
N#CC1=C2C=CC=CN2CN=C1[S][R],[#7]#[#6]-[#6]1=[#6]2-[#6]=[#6]-[#6]=[#6]-[#7]-2-[#6H2]-[#7]=[#6]-1-[#16]-[#0:1],1
O=C(C=[CH][Nar])[N]([R])[R],[#7](-[#6](=[#8])/[#6H]=[#6]/[#7])(-[#0:1])-[#0:2],1
C=CC=CC=NC(=S)[N]([R])[C](=O)[R],[#8]=[#6](-[#0:1])-[#7](-[#6](-[#7]=[#6H]-[#6]=[#6]-[#6]=[#6H])=[#16])-[#0:2],1
O=[C]1[O][Pt][O][C](=O)[R]1,[#8]=[#6]1-[#8]-[Pt]-[#8]-[#6](=[#8])-[#0:1]-1,1
O=S(=O)([N]([R])[R])[N]([R])C(Cl)=CCl,[#0:1]-[#7](-[#0:2])-[#16](=[#8])(=[#8])-[#7](-[#0:3])/[#6](-[#17])=[#6]\[#17],1
O=C(O)C(=CCl)[N]([R])[C](=O)[R],[#0:1]-[#6](=[#8])-[#7](-[#6](-[#6](=[#8])-[#8])=[#6H]-[#17])-[#0:2],1
ClC=C(Cl)[S][R],[#0:1]-[#16]/[#6](-[#17])=[#6]\[#17],1
[R][S]C=N[N]([R])[R],[#7](/[#7]=[#6H]/[#16]-[#0:1])(-[#0:2])-[#0:3],1
N#[N+][N-][S](=O)(=O)[R],[#0:1]-[#16](=[#8])(=[#8])-[#7-]-[#7+]#[#7],1
O=[C]([R])N=CC=C[N]([R])[R],[#0:1]-[#6](=[#8])-[#7]=[#6]-[#6H]=[#6H]-[#7](-[#0:2])-[#0:3],1
N#[C][Fe-2]([C]#N)([C]#N)([C]#N)([C]#N)[N]=O,[#7]#[#6]-[Fe-2](-[#6]#[#7])(-[#6]#[#7])(-[#6]#[#7])(-[#6]#[#7])-[#7]=[#8],1
N#CC=C([S][R])[N]([R])[R],[#7]#[#6]/[#6H]=[#6](/[#7](-[#0:2])-[#0:3])-[#16]-[#0:1],1
C=CC=CC#N,[#7]#[#6]/[#6H]=[#6]\[#6]=[#6H],1
C=C(C#N)C(=C(C#N)C#N)[N]([R])[R],[#7]#[#6]-[#6](-[#6]#[#7])=[#6](-[#7](-[#0:1])-[#0:2])-[#6](-[#6]#[#7])=[#6H],1
C=C(C#N)[S](=O)(=O)[R],[#7]#[#6]-[#6](=[#6H])-[#16](=[#8])(=[#8])-[#0:1],1
N#CC=NO,[#7]#[#6]/[#6H]=[#7]/[#8],1
N#CC=C([S][R])[N]([R])[C](=O)[R],[#7]#[#6]/[#6]=[#6](\[#7](-[#6](=[#8])-[#0:1])-[#0:3])-[#16]-[#0:2],1
N#CC=C1C=CC=N[N]1[R],[#0:1]-[#7]1-[#7]=[#6H]-[#6]=[#6]/[#6]-1=[#6H]/[#6]#[#7],1
N#C[C](=[Car])C#N,[#7]#[#6]-[#6](-[#6]#[#7])=[#6H2],1
N#CC(C#N)=C1C=CC=N[N]1[R],[#0:1]-[#7]1-[#7]=[#6H]-[#6]=[#6]-[#6]-1=[#6](-[#6]#[#7])-[#6]#[#7],1
N#CC(=CN=C[N]([R])[R])C(=O)[N]([R])[R],[#7]#[#6]-[#6](-[#6](=[#8])-[#7](-[#0:1])-[#0:2])=[#6H]-[#7]=[#6H]-[#7](-[#0:3])-[#0:4],1
N#CC=C(C=C(C#N)C#N)[N]([R])[R],[#7]#[#6]-[#6](-[#6]#[#7])=[#6]/[#6](-[#7](-[#0:1])-[#0:2])=[#6H]/[#6]#[#7],1
N#CC=C([N]([R])[R])[N]([R])[C](=O)[R],[#7]#[#6]-[#6H]=[#6](-[#7](-[#0:3])-[#0:4])-[#7](-[#0:1])-[#6](=[#8])-[#0:2],1
[R][N]([R])C=NC[N]([R])[R],[#6H](=[#7]-[#6H]-[#7](-[#0:3])-[#0:4])-[#7](-[#0:1])-[#0:2],1
C=CC(=O)[N]([R])[Nar],[#6H]=[#6]-[#6](=[#8])-[#7](-[#7])-[#0:1],1
O=[C]([R])N(C[O][R])[C](=O)[R],[#0:1]-[#8]-[#6]-[#7](-[#6](=[#8])-[#0:2])-[#6](-[#0:3])=[#8],1
[R][N]([R])C1N=CC=C[N]1[R],[#0:1]-[#7](-[#6]1-[#7]=[#6]-[#6]=[#6]-[#7]-1-[#0:3])-[#0:2],1
N#C[N]([R])C=[N][R],[#7]#[#6]-[#7](-[#6H]=[#7]-[#0:2])-[#0:1],1
C=N[N]([R])C(=[N][R])[N]([R])N=C,[#7](=[#6](-[#7](-[#7]=[#6H])-[#0:2])-[#7](-[#7]=[#6H])-[#0:3])-[#0:1],1
C=C1C(=O)SC(=[N][R])[N]1[R],[#7](=[#6]1-[#7](-[#6](=[#6H])-[#6](=[#8])-[#16]-1)-[#0:2])-[#0:1],1
[R][N]=CN=c1nccc[n]1[R],[#7](=[#6H]-[#7]=[#6]1-[#7]=[#6]-[#6]=[#6]-[#7]-1-[#0:1])-[#0:2],1
OC=C(O)C(=[N][R])[O][R],[#7](=[#6](-[#8]-[#0:1])-[#6](=[#6H]-[#8])-[#8])-[#0:2],1
[R][N]=C[N]([R])C(=[N][R])[S][R],[#7](=[#6](-[#16]-[#0:1])-[#7](-[#6H]=[#7]-[#0:2])-[#0:3])-[#0:4],1
O=[S](=O)([R])[N]([R])C=C[S][R],[#8]=[#16](=[#8])(-[#0:1])-[#7](-[#6]=[#6H]-[#16]-[#0:2])-[#0:3],1
[R][B]([N]([R])[R])[N]([R])[R],[#0:1]-[#5](-[#7](-[#0:2])-[#0:4])-[#7](-[#0:3])-[#0:5],1
O=C1[N]([R])C2C([N]1[R])[N]([R])C(=O)[N]2[R],[#8]=[#6]1-[#7](-[#6]2-[#7](-[#6](=[#8])-[#7](-[#6]-2-[#7]-1-[#0:4])-[#0:3])-[#0:2])-[#0:1],1
C=C([N]([R])[R])[N]([R])O[C](=O)[R],[#7](-[#6](=[#6H])-[#7](-[#8]-[#6](=[#8])-[#0:1])-[#0:4])(-[#0:2])-[#0:3],1
[R][N]=[C]([Nar])[N]([R])[R],[#7](=[#6](-[#7](-[#0:2])-[#0:3])-[#7])-[#0:1],1
S=C([N]([R])[R])[N]([R])C(=[N][R])[N]([R])[R],[#7](=[#6](-[#7](-[#0:3])-[#0:4])-[#7](-[#6](=[#16])-[#7](-[#0:1])-[#0:6])-[#0:5])-[#0:2],1
O=[C]([R])N=C([N]=[Car])[N]([R])[R],[#7](-[#6](=[#7]-[#6](=[#8])-[#0:1])-[#7]=[#0:2])(-[#0:3])-[#0:4],1
O=C(C=C([S][R])[N]([R])[C](=O)[R])[N]([R])[R],[#7](-[#6](=[#8])-[#6H]=[#6](-[#7](-[#6](=[#8])-[#0:1])-[#0:5])-[#16]-[#0:2])(-[#0:3])-[#0:4],1
O=C(C=N[N]([R])[R])[N]([R])C(=[N][R])[S][R],[#6H](-[#6](=[#8])-[#7](-[#6](=[#7]-[#0:2])-[#16]-[#0:3])-[#0:5])=[#7]-[#7](-[#0:4])-[#0:1],1
O=[C]1[R][N](C(=O)[O][R])C=C[N]1[R],[#0:1]-[#7]1-[#6]=[#6]-[#7](-[#6](=[#8])-[#8]-[#0:2])-[#0:3]-[#6]-1=[#8],1
O=C([N]([R])[R])[N]([R])N=CC=NO,[#7](-[#6](=[#8])-[#7](/[#7]=[#6H]/[#6]=[#7]/[#8])-[#0:3])(-[#0:1])-[#0:2],1
C=CC=CC=N[N]([R])C(=O)[N]([R])[R],[#6H]=[#6]-[#6H]=[#6]/[#6H]=[#7]/[#7](-[#6](-[#7](-[#0:2])-[#0:3])=[#8])-[#0:1],1
O=C(C=CO)[N]([R])C(=O)[N]([R])[R],[#7](-[#6](=[#8])-[#7](-[#6](=[#8])/[#6H]=[#6H]\[#8])-[#0:1])(-[#0:2])-[#0:3],1
O=C1C([N]([R])C(=O)[N]([R])[R])[N]([R])C(=O)[N]1[R],[#7](-[#6](=[#8])-[#7](-[#6]1-[#7](-[#6](=[#8])-[#7](-[#6]-1=[#8])-[#0:5])-[#0:4])-[#0:3])(-[#0:1])-[#0:2],1
S=C(N=C[N]([R])[R])[N]([R])[R],[#0:1]-[#7](-[#0:2])/[#6]=[#7]/[#6](-[#7](-[#0:3])-[#0:4])=[#16],1
[R][S]C[N+]([R])=C[N]([R])[R],[#0:1]-[#16]-[#6]-[#7+](=[#6H]-[#7](-[#0:2])-[#0:3])-[#0:4],1
O=C(O)C=N[N]([R])C[N]([R])[R],[#7](-[#6H]-[#7](/[#7]=[#6]/[#6](=[#8])-[#8])-[#0:3])(-[#0:1])-[#0:2],1
O=C(O)C([N]([R])C(=O)[N]([R])[R])[N]([R])C(=O)[N]([R])[R],[#7](-[#6](=[#8])-[#7](-[#6](-[#7](-[#6](-[#7](-[#0:5])-[#0:6])=[#8])-[#0:4])-[#6](=[#8])-[#8])-[#0:3])(-[#0:1])-[#0:2],1
[R][N]=C([N]([R])[R])[N]([R])C[O][R],[#0:1]-[#8]-[#6H2]-[#7](-[#6](=[#7]-[#0:2])-[#7](-[#0:3])-[#0:5])-[#0:4],1
O=[C]([R])[N]([R])[N]([R])C(=[N][R])[N]([R])[R],[#7](-[#6](=[#7]-[#0:1])-[#7](-[#7](-[#6](-[#0:2])=[#8])-[#0:5])-[#0:6])(-[#0:3])-[#0:4],1
O=[C]([R])C(=C[N]([R])[R])C(=C[N]([R])[R])[C](=O)[R],[#7](-[#6H]=[#6](-[#6](=[#8])-[#0:1])-[#6](-[#6](-[#0:2])=[#8])=[#6H]-[#7](-[#0:5])-[#0:6])(-[#0:3])-[#0:4],1
[R][O]C1=NC([N]([R])[R])=NC[N]1[R],[#7](-[#6]1=[#7]-[#6H2]-[#7](-[#6](=[#7]-1)-[#8]-[#0:1])-[#0:2])(-[#0:3])-[#0:4],1
O=S(=O)(O)[O][Nar],[#7]-[#8]-[#16](=[#8])(=[#8])-[#8],1
C=CN=C([S][R])[N]([R])[R],[#7](-[#6](=[#7]-[#6H]=[#6H2])-[#16]-[#0:1])(-[#0:2])-[#0:3],1
[R][N]=C(C(=[N][R])[N]([R])[R])[N]([R])[R],[#7](=[#6](-[#7](-[#0:1])-[#0:4])-[#6](=[#7]-[#0:5])-[#7](-[#0:2])-[#0:6])-[#0:3],1
O=P(O)([O][Na])OP(=O)([O][Na])[O][R],[#0:1]-[#8]-[#15](=[#8])(-[#8]-[Na])-[#8]-[#15](=[#8])(-[#8])-[#8]-[Na],1
O=[C]1[R][N]([R])C(Br)N(C[O][R])C[N]([R])C([N]([R])[R])[N]1[R],[#7](-[#6]1-[#7](-[#6](=[#8])-[#0:1]-[#7](-[#6](-[#35])-[#7](-[#6H2]-[#8]-[#0:2])-[#6H]-[#7]-1-[#0:7])-[#0:6])-[#0:5])(-[#0:3])-[#0:4],1
O=[P+](O)[O][R],[#0:1]-[#8]-[#15+](=[#8])-[#8],1
[R][N]=NC[N]([R])[R],[#6H](-[#7](-[#0:2])-[#0:3])-[#7]=[#7]-[#0:1],1
O=[C]([Nar])C(=C[O][R])[O][R],[#7]-[#6](=[#8])-[#6](=[#6]-[#8]-[#0:1])-[#8]-[#0:2],1
ON=[CH][Nar],[#6H](=[#7]-[#8])-[#7],1
