label,inferred_smarts,llm_output
C1N2CN3CN1CN(C2)C3,C1N2CN3CN1CN(C2)C3,tetraazadamantane
S=C([O][R])[S][R],S=C(O*)S*,dithiocarbonate
C=CC=CC=CC=CC=CC(=O)[N]([R])[R],C=CC=CC=CC=CC=CC(=O)N(*)*,fused heterocyclic nitrogen-adjacent amide
C=CC=CC=N[N]([R])[C](=O)[R],C=CC=CC=NN(*)C(=O)*,conjugated acylhydrazone
C=CC=N[N]([R])C(=[N][R])[S][R],C=CC=NN(*)C(=N*)S*,conjugated hydrazinyl iminothioether
C=CC=C([S][R])[N]([R])[R],C=CC=C(S*)N(*)*,conjugated diene sulfenamide
C=CC=C1C(=O)[N]([R])C(=S)[N]1[R],C=CC=C1C(=O)N(*)C(=S)N1*,conjugated diene substituted 2-thiohydantoin
C=C(C=CC(=O)O)C(=O)O,C=C(C=CC(=O)O)C(=O)O,conjugated diene diacid
O=[C]([R])C=CC=[N][R],O=C(*)C=CC=N*,carbonyl vinyl imine
O=[C]([R])C(=C[N]([Nar])[C](=O)[R])[S][R],O=C(*)C(=CN(n)C(=O)*)S*,triazolothiadiazine diketone
C=CC(=O)[N]([R])C(=[N][R])[S][R],C=CC(=O)N(*)C(=N*)S*,thiazole acrylamide
O=[C]([R])N=C[N]([R])[R],O=C(*)N=CN(*)*,acylamidine
O=[C]([R])C(O)O,O=C(*)C(O)O,geminal diol carbonyl
O=[C]([R])[N]([R])C1[N]([R])C[N]([R])C[N](C[O][R])[R][C](=O)[N]1[R],O=C(*)N(*)C1N(*)CN(*)CN(CO*)*C(=O)N1*,n hydroxymethyl lactam
O=[C]([R])C=CO[C](=O)[R],O=C(*)C=COC(=O)*,conjugated enol ester
C=CC=COCO[C](=O)[R],C=CC=COCOC(=O)*,dienyloxymethyl ester
O=[C]([R])OCO[P](=O)([R])OCO[C](=O)[R],O=C(*)OCOP(=O)(*)OCOC(=O)*,bis acyloxymethyl phosphate
OC[N]([R])C([S][R])=[N+]([R])[R],OCN(*)C(S*)=[N&+](*)*,thiourea derivative with carbamate and charged nitrogen
O=C(O)C=N[O][R],O=C(O)C=NO*,2-oximino carboxylates
O=[C]([R])C=C[N]([R])C(=O)[N]([R])C(=O)[N]([R])[R],O=C(*)C=CN(*)C(=O)N(*)C(=O)N(*)*,beta enamino carbonyl diamide
C1OC1C1OC1C1CO1,C1OC1C1OC1C1CO1,triepoxide chain
[N-]=[N+]=C[C](=O)[R],[N&-]=[N&+]=CC(=O)*,diazo carbonyl
O=[C]1[R][N]([R])C[N]([R])C[N]([R])C([N]([R])[R])[N]1[R],O=C1*N(*)CN(*)CN(*)C(N(*)*)N1*,nine membered tetraaza lactam
[R][N]=C[N]([R])N=C[N]([R])[R],*N=CN(*)N=CN(*)*,biguanide
O=C(C1C[N]1[R])[N]([R])[R],O=C(C1CN1*)N(*)*,aziridine tertiary carboxamide
O=[C]1[R][N](C[N]([R])[R])C(=O)[N]1[R],O=C1*N(CN(*)*)C(=O)N1*,aminomethyl hydantoin
[R][N]=CN=C[N]([R])[R],*N=CN=CN(*)*,biguanide
O=[C]1[R][N](C(=O)[N]([R])[R])C(=O)[N]1[R],O=C1*N(C(=O)N(*)*)C(=O)N1*,heterocyclic dicarbonyl n carboxamide
O=C([O][R])OCO[P](=O)([R])OCOC(=O)[O][R],O=C(O*)OCOP(=O)(*)OCOC(=O)O*,bis carbonate methylene phosphate
C=CC(=O)[N]([R])N=[N][R],C=CC(=O)N(*)N=N*,triazenyl acrylamide
C=CC1CO1,C=CC1CO1,vinyl epoxide
[R][N]([R])C1=NCN=C1,*N(*)C1=NCN=C1,amino imidazole
C#CO[O][R],C#COO*,peroxide ring linker
C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=C,polyene
ClC(C=CC=C[N]([R])[R])=CC=CC=[N+]([R])[R],ClC(C=CC=CN(*)*)=CC=CC=[N&+](*)*,chloro nonamethine cyanine
OC=CC=[N][R],OC=CC=N*,six-membered heteroaryl ring
O=C([N]([R])[R])[N]([R])C(=[N][R])[O][R],O=C(N(*)*)N(*)C(=N*)O*,n-carbamoylcarbamimidate
[O-][N+](=C[N]([R])[R])CO,[O&-][N&+](=CN(*)*)CO,hydroxymethyl tertiary amine substituted iminium n-oxide
C=CC#C[Si]([R])([R])[R],C=CC#C[#14](*)(*)*,enynyl silane
O=[C]([R])[O][Ca][O][C](=O)[R],O=C(*)O[#20]OC(=O)*,calcium dicarboxylate
[R][N]1CSC=N1,*N1CSC=N1,"1,3,4-thiadiazole ring"
O=C(C=C[S][R])[O][R],O=C(C=CS*)O*,3-sulfanylacrylate
[O-][N+]1=CC=[N+]([O-])C1,[O&-][N&+]1=CC=[N&+]([O&-])C1,imidazolium dioxide
O=[C]([R])C=C[N]([R])C=CC(=O)[N]([R])[R],O=C(*)C=CN(*)C=CC(=O)N(*)*,bis(enone) amine
O=C(C=C[N]([R])C=[N][R])[N]([R])[R],O=C(C=CN(*)C=N*)N(*)*,enamine imine amide
O=[C]([R])N=C([N]([R])[R])[N]([R])C=CC(=O)[O][R],O=C(*)N=C(N(*)*)N(*)C=CC(=O)O*,beta guanidino acrylate
C=C1C=CC(=O)C=C1,C=C1C=CC(=O)C=C1,fulvenone
O=[C]([R])[N]([R])C=C[N]([R])[N]([R])[R],O=C(*)N(*)C=CN(*)N(*)*,enamide hydrazine
C=CC(=C)[C](=O)[R],C=CC(=C)C(=O)*,carbonyl with carbon or hydrogen
N#CC(C(=O)[N]([R])[R])=C1C=CC=N[N]1[R],N#CC(C(=O)N(*)*)=C1C=CC=NN1*,pyridazinylidene cyanoacetamide
O=P([O][Na])([O][R])OP(=O)([O][Na])[O][R],O=P(O[#11])(O*)OP(=O)(O[#11])O*,disodium diphosphate esters
O=C1C(=C[N]([R])[N]([R])[C](=O)[R])C=N[N]1[R],O=C1C(=CN(*)N(*)C(=O)*)C=NN1*,pyrazolopyridine dicarbonyl core
O=C1C(=CO)C=N[N]1[R],O=C1C(=CO)C=NN1*,4 enol ether pyrazolone
O=C(C1=C[N]([R])S(=O)(=O)N=C1)[N]([R])[R],O=C(C1=CN(*)S(=O)(=O)N=C1)N(*)*,thiadiazine sulfonamide carboxamide
O=[C]([R])C([O][R])[O][R],O=C(*)C(O*)O*,"1,2 dicarbonyl hydrate"
S=[P]([R])([R])[R],S=P(*)(*)*,phosphine sulfide
O=C(C(=O)[N]([R])[N]([R])[R])[N]([R])[R],O=C(C(=O)N(*)N(*)*)N(*)*,oxalamide
[O-][N+]([R])=[N][R],[O&-][N&+](*)=N*,azoxy
O=C([N]([R])[N]([R])[R])[N]([R])[S](=O)(=O)[R],O=C(N(*)N(*)*)N(*)S(=O)(=O)*,hydrazinyl sulfonylurea
O=[C]1OC[N](C(=O)[O][R])[R]1,O=C1OCN(C(=O)O*)*1,oxazolidinedione ester
[R][N]([R])[C](=[Car])[N]([R])[R],*N(*)C(=c)N(*)*,aromatic enamino amine
O=[S](=O)([R])[N]([R])[S](=O)(=O)[R],O=S(=O)(*)N(*)S(=O)(=O)*,bis sulfonyl amine
O=[C]([R])OCOCO[O][R],O=C(*)OCOCOO*,ether peroxy ester
O=[C]([R])[N][R],O=C(*)N*,amide
O=[C]([R])ON=CC(=O)[N]([R])[R],O=C(*)ON=CC(=O)N(*)*,carboxamido oxime ester
O=C(C(O)[N]([R])[R])[N]([R])[R],O=C(C(O)N(*)*)N(*)*,alpha-hydroxy amino acid amide
C=N[N]1[R][C](=O)C=C1[N]([R])[R],C=NN1*C(=O)C=C1N(*)*,hydrazone enone five amine
O=[S](=O)([R])C=N[N]([R])[R],O=S(=O)(*)C=NN(*)*,azole sulfonyl
[S][R],S*,sulfur single bond
C=CC([S][R])[N]([R])[R],C=CC(S*)N(*)*,allylic amino sulfide
O=C([O][R])C([S][R])[S][R],O=C(O*)C(S*)S*,gem dithio carboxylic acid
O=[C]1[R][S](=O)(=O)C[N]1[R],O=C1*S(=O)(=O)CN1*,thiazolidinone dioxide
F[B](F)[Nar],FB(F)n,difluoroboron aromatic nitrogen
O=P(O)([O][R])OC[O][R],O=P(O)(O*)OCO*,alkoxyalkyl phosphate
O=C1C=C[N]([R])C([S][R])([N]([R])[R])[N]1[R],O=C1C=CN(*)C(S*)(N(*)*)N1*,2 amino 2 thio pyrimidinone
[R][S]C1=NC[N]([R])[N]1[R],*SC1=NCN(*)N1*,"n1 substituted 5 thioether 1,2,4 triazole"
O=S(=O)([O-])[O][R],O=S(=O)([O&-])O*,sulfate monoanion
O=[S](=O)([R])O[O-],O=S(=O)(*)O[O&-],sulfonoperoxoate
[R][S]C=[CH][Nar],*SC=[C&H1]n,thiazole
O=[C]1[R][N](C=[N][R])C=N[N]1[R],O=C1*N(C=N*)C=NN1*,imidazole fused triazinone
C=CC(=CC=CC=[N][R])[N]([R])[R],C=CC(=CC=CC=N*)N(*)*,vinyl dienimine enamine
O=C1C(=CC=C([S][R])[N]([R])[R])C(=O)[N]([R])C(=S)[N]1[R],O=C1C(=CC=C(S*)N(*)*)C(=O)N(*)C(=S)N1*,merocyanine thiobarbiturate
[R][N]=CC=CC=C([S][R])[N]([R])[R],*N=CC=CC=C(S*)N(*)*,thioenamino imine
[R][S]C(=CC=[N+]([R])[R])[N]([R])[R],*SC(=CC=[N&+](*)*)N(*)*,thioenaminium cation
C=CC=CC=C(C=C)[N]([R])[R],C=CC=CC=C(C=C)N(*)*,amino substituted aromatic ring
[R][N]=CC=CC=CC=C[N]([R])[R],*N=CC=CC=CC=CN(*)*,polyene chain between imine and tertiary amine
[R][N]([R])C1C=CC=N[N]1[R],*N(*)C1C=CC=NN1*,tertiary amine dihydropyridazine
C#CC=CC#C,C#CC=CC#C,enediyne
C=CC=C([C](=O)[R])[N]([R])C(=O)[O][R],C=CC=C(C(=O)*)N(*)C(=O)O*,geminal acyl carbamate diene
[R][O]CO[N]([R])[R],*OCON(*)*,oo bond
N#CC(C(C#N)=C([S][R])[N]([R])[R])=C([S][R])[N]([R])[R],N#CC(C(C#N)=C(S*)N(*)*)=C(S*)N(*)*,bis amino thio methylidene butanedinitrile
O=C([O][R])C1OC1C(=O)[N]([R])[R],O=C(O*)C1OC1C(=O)N(*)*,3-carbamoyloxirane-2-carboxylate
O=C([O][R])C(=C[N]([R])[R])N(C(=O)[O][R])C(=O)[O][R],O=C(O*)C(=CN(*)*)N(C(=O)O*)C(=O)O*,tris ester enamine
O=C([O][R])C(=C[N]([R])C(=O)[O][R])N(C(=O)[O][R])C(=O)[O][R],O=C(O*)C(=CN(*)C(=O)O*)N(C(=O)O*)C(=O)O*,enamine carbamate itaconate biscarbamate
O=C([O][R])C(=N[N]([R])[R])[S](=O)(=O)[R],O=C(O*)C(=NN(*)*)S(=O)(=O)*,"thiadiazine 1,1-dioxide carboxylate"
O=C(N=C[N]([R])[R])[O][R],O=C(N=CN(*)*)O*,diaminomethylidene carbamate
N#CC=CC(=O)[O][R],N#CC=CC(=O)O*,cyano acrylate
O=C(C=CCl)[O][R],O=C(C=CCl)O*,3-chloroacrylate
C=C(C(=O)[O][R])[N]([R])[R],C=C(C(=O)O*)N(*)*,dehydroamino acid
O=C([O][R])C(C(=O)[O][R])=C1C=CC=N[N]1[R],O=C(O*)C(C(=O)O*)=C1C=CC=NN1*,vinyl triazole bis ester
C=N[N]([R])C(=O)C(=O)[O][R],C=NN(*)C(=O)C(=O)O*,hydrazone oxamate
O=[C]([R])OC(C(=O)[O][R])[N]([R])[C](=O)[R],O=C(*)OC(C(=O)O*)N(*)C(=O)*,acyloxy acylamino carboxylate
O=C(C=C[N]=[Car])[O][R],O=C(C=CN=c)O*,heteroaromatic carboxylic acid
O=C(C=CN=C1[S][R][C](=O)[N]1[R])[O][R],O=C(C=CN=C1S*C(=O)N1*)O*,thiazolopyrimidine carboxylate
O=C(O)C(O)=C(O)C(=O)O,O=C(O)C(O)=C(O)C(=O)O,dihydroxyfumarate
O=[C]([R])OC(=O)N=C([N]([R])[R])[N]([R])C(=O)O[C](=O)[R],O=C(*)OC(=O)N=C(N(*)*)N(*)C(=O)OC(=O)*,mixed anhydride guanidine
O=[C]([R])OC(=O)[N]([R])[R],O=C(*)OC(=O)N(*)*,carbamoyl anhydride
O=C([O][R])[N]([R])C(=O)[O][R],O=C(O*)N(*)C(=O)O*,dicarbamate
C=CO[N]([R])[R],C=CON(*)*,o-vinylhydroxylamine
O=[C]1[R][N]([R])C(=[N][R])[N]1[R],O=C1*N(*)C(=N*)N1*,2-iminoimidazolidinone
[Cl][Zn][Cl],Cl[#30]Cl,zinc chloride
ClC=C[O][R],ClC=CO*,chlorovinyl ether
[R][S]C1=NC[N]([R])C[N]1[R],*SC1=NCN(*)CN1*,di n substituted s triazinyl thioether
C#CI,C#CI,terminal iodoalkyne
C=C1C(=O)[N]([R])N=C[N]1[R],C=C1C(=O)N(*)N=CN1*,pyrazolone ring
O=[C]([R])C=CC=C[N]([R])[R],O=C(*)C=CC=CN(*)*,dienone enamines
O=C[N]([R])C(=O)C=C[N]([R])[R],O=CN(*)C(=O)C=CN(*)*,enamino imide
O=[C]1N=C([N]([R])[R])[O][R]1,O=C1N=C(N(*)*)O*1,substituted oxadiazolone ring
O=C(O)C=CC=N[N]([R])[R],O=C(O)C=CC=NN(*)*,carboxylic acid conjugated hydrazone
[R][S][C](=[Car])[N]([R])[R],*SC(=c)N(*)*,amino thiophene with exocyclic substituents
OCO,OCO,oxygen carbon oxygen
O=C1C=CC(=C([N]([R])[R])[N]([R])[R])C=C1,O=C1C=CC(=C(N(*)*)N(*)*)C=C1,para quinone guanidine
O=C(C=N[N]([R])C(=S)[N]([R])[R])[N]([R])[R],O=C(C=NN(*)C(=S)N(*)*)N(*)*,thiosemicarbazone amide
O=[C]([R])[CH]=[Car],O=C(*)[C&H1]=c,arylidene carbonyl
O=[C]1N=C([N]([R])C(=O)[N]([R])[R])[N]([R])[R]1,O=C1N=C(N(*)C(=O)N(*)*)N(*)*1,substituted hydantoin
C=C(F)C(=O)[N]([R])[R],C=C(F)C(=O)N(*)*,alpha fluoro acrylamides
O=C(OC[N]([R])[C](=O)[R])[N]([R])[R],O=C(OCN(*)C(=O)*)N(*)*,amidomethyl carbamate
[Car]=[N]C[N]=[Car],c=NCN=c,imidazole ring
C=CC([O][R])=C1C(=O)C=CC1=O,C=CC(O*)=C1C(=O)C=CC1=O,"alkylidene substituted 1,3-dione with exocyclic enol ether"
O=C([O][R])C(=C[N]([R])[R])[N+](=O)[O-],O=C(O*)C(=CN(*)*)[N&+](=O)[O&-],beta-amino-alpha-nitro acrylate
C=C[N]([R])[N]([R])C(=CC(=O)[O][R])C(=O)[O][R],C=CN(*)N(*)C(=CC(=O)O*)C(=O)O*,vinyl hydrazine dicarboxylate
C=CC1=CC(=C[C](=O)[R])OCO1,C=CC1=CC(=CC(=O)*)OCO1,dioxin enone
O=[C]([R])C([O][R])=C([C](=O)[R])[N]([R])[R],O=C(*)C(O*)=C(C(=O)*)N(*)*,2-carboxy-3-hydroxy-4-pyridone
O=[C]([R])[N]([R])COP(=O)([O][Na])[O][Na],O=C(*)N(*)COP(=O)(O[#11])O[#11],n phosphooxymethyl amide
O=[S](=O)([R])[O][K],O=S(=O)(*)O[#19],potassium sulfonate
ON=CCl,ON=CCl,hydroximoyl chloride
O=[C]([R])C=CC1CO1,O=C(*)C=CC1CO1,"β-epoxy α,β-unsaturated carbonyl"
O=[C]([R])C(O)[O][R],O=C(*)C(O)O*,alpha peroxy carbonyl
C=CC(=O)[N]([R])C(=O)C=C,C=CC(=O)N(*)C(=O)C=C,bis-acrylamide
C=NN=C([N]([R])[R])[N]([R])[R],C=NN=C(N(*)*)N(*)*,biguanide
C=CC=CC=CC=CC(=O)O,C=CC=CC=CC=CC(=O)O,polyene carboxylic acid
C#CC(=O)O,C#CC(=O)O,propiolic acid
C=NN=C[N]([R])[R],C=NN=CN(*)*,amidrazone
C=CC(=O)[N]([R])[N]([R])[R],C=CC(=O)N(*)N(*)*,acryloyl hydrazide
C=CC(=O)C(=O)O,C=CC(=O)C(=O)O,vinyl keto carboxylic acid
C=CC1=NC(=C)C(=O)[N]1[R],C=CC1=NC(=C)C(=O)N1*,vinyl imidazolone methylidene
C=C1N=C([S][R])[N]([R])C1=O,C=C1N=C(S*)N(*)C1=O,4 alkylidene 2 thio imidazolone
O=C(C(=[N][R])[N]([R])[R])[N]([R])[R],O=C(C(=N*)N(*)*)N(*)*,heterocyclic carboxamide
O=[C]([R])C=C[N]([Nar])[C](=O)[R],O=C(*)C=CN(n)C(=O)*,acylpyrazole enone hydrazone
O=[C]([R])[N]([R])C[N]([R])C(=O)[O][R],O=C(*)N(*)CN(*)C(=O)O*,methylenebiscarbamate
S=C[N]([R])N=C[N]([R])[R],S=CN(*)N=CN(*)*,amidine thiosemicarbazone
O=C([N]([R])[R])[N]([R])C=C[N+](=O)[O-],O=C(N(*)*)N(*)C=C[N&+](=O)[O&-],nitrovinyl urea
S=C(C=C[N]([R])[R])[N]([R])[R],S=C(C=CN(*)*)N(*)*,tertiary enaminothioamide
C=CC1N=C([N]([R])[R])N=C([N]([R])[R])[N]1[R],C=CC1N=C(N(*)*)N=C(N(*)*)N1*,n-allyl pyrazolotriazine diamine
O=[C]([R])[N]([R])C(=[N][R])[N]([R])C=[N][R],O=C(*)N(*)C(=N*)N(*)C=N*,carbamoyl biguanide
O=[C]([R])[N]([R])[N]=[Car],O=C(*)N(*)N=c,heteroaromatic carbonyl
C=CC(=O)[N]([R])[N]([R])[C](=O)[R],C=CC(=O)N(*)N(*)C(=O)*,acryloyl diacyl hydrazide
O=C(ON=C[N]([R])[R])[N]([R])[R],O=C(ON=CN(*)*)N(*)*,diaminomethylideneamino carbamate
OC1=NN=CC=[C]([Nar])C1=C[N]([R])[R],OC1=NN=CC=C(n)C1=CN(*)*,hydroxy pyridazine enamine with heteroaryl
O=S([O][R])[O][R],O=S(O*)O*,sulfite
O=C(N1CSC=N1)[N]([R])[O][R],O=C(N1CSC=N1)N(*)O*,"n-1,3,4-thiadiazolyl n-alkoxy amide"
N#CN=C([S][R])[N]([R])[R],N#CN=C(S*)N(*)*,cyanocarbamimidothioate
[R][S]C=NN=C[N]([R])[R],*SC=NN=CN(*)*,thioether amino heteroaryl amine
O=P([O][Na])([O][Na])OP(=O)([O][Na])[O][R],O=P(O[#11])(O[#11])OP(=O)(O[#11])O*,trisodium pyrophosphate monoester
S=C([N]([R])[R])[N]([R])[N]([R])[R],S=C(N(*)*)N(*)N(*)*,thiocarbonic triamide
C=C1C=CC(=O)C(C(=O)O)=C1,C=C1C=CC(=O)C(C(=O)O)=C1,3-alkylidene-6-oxocyclohexadiene-1-carboxylic acid
O=[C]1[O][Pt]([N]([R])[R])([N]([R])[R])[O][C](=O)[R]1,O=C1O[#78](N(*)*)(N(*)*)OC(=O)*1,platinum dicarboxylate complex
C=C(C#N)C(=S)[N]([R])[R],C=C(C#N)C(=S)N(*)*,cyano vinyl thiourea
N#CC=C[C](=O)[R],N#CC=CC(=O)*,nitrile michael acceptor
N#CC(=N[N]([R])[R])[C](=O)[R],N#CC(=NN(*)*)C(=O)*,alpha cyano hydrazone carbonyl
N#CC([C](=O)[R])=C([N]([R])[R])[N]([R])[C](=O)[R],N#CC(C(=O)*)=C(N(*)*)N(*)C(=O)*,beta diamino carbonyl acrylonitrile
N#CC=C[S](=O)(=O)[R],N#CC=CS(=O)(=O)*,cyano vinyl sulfone
N#CN=C([O][R])[N]([R])[R],N#CN=C(O*)N(*)*,n-cyanocarbamimidates
O=[C]1[R][N]=CN1C(=[N][R])[S][R],O=C1*N=CN1C(=N*)S*,triazolone thioimidate
[R][N]=C[N]([R])[O][R],*N=CN(*)O*,n-oxyamidine
O=[C]([R])N(C[O][R])C(=O)[N]([R])C[O][R],O=C(*)N(CO*)C(=O)N(*)CO*,bis n-alkoxymethyl dicarbonyl
O=C(C=CC(=CO)C(=O)[N]([R])[R])[N]([R])[R],O=C(C=CC(=CO)C(=O)N(*)*)N(*)*,conjugated enol diamide
O=P([O-])(O)[O][R],O=P([O&-])(O)O*,phosphoric acid monoester anion
C=C(C(=N[N]([R])[R])[C](=O)[R])S(=O)(=O)O,C=C(C(=NN(*)*)C(=O)*)S(=O)(=O)O,vinyl hydrazone ketone sulfonic acid
O=[C]1[R][N](C[O][R])C[N]([R])C[N]([R])C([N]([R])[R])[N]1[R],O=C1*N(CO*)CN(*)CN(*)C(N(*)*)N1*,n-alkoxyalkyl polyazamacrocycle with carbonyl
O=C(C(=C[N]([R])C(=O)[N]([R])[R])[N]([R])[C](=O)[R])[N]([R])[R],O=C(C(=CN(*)C(=O)N(*)*)N(*)C(=O)*)N(*)*,diurea core
C=C1SC(=S)N([N]([R])[R])C1=O,C=C1SC(=S)N(N(*)*)C1=O,rhodanine n tertiary amine
OC=N[N]([R])[R],OC=NN(*)*,hydrazonic acid
[OH][Hg][R],[O&H1][#80]*,mercury hydroxyl
O=C1C(O)=C(O)C(=O)C(O)=C1O,O=C1C(O)=C(O)C(=O)C(O)=C1O,tetrahydroxy quinone
O=C(O)C=COCOC[O][R],O=C(O)C=COCOCO*,beta allyl ether with short polyether chain 
C=NOCO,C=NOCO,alpha oxygenated oxime ether
C=COC[N]([R])[C](=O)[R],C=COCN(*)C(=O)*,vinyl ether alkyl amide
C=CC(=O)C=C1C=CC(=O)O1,C=CC(=O)C=C1C=CC(=O)O1,5-(3-oxopropenylidene)furan-2-one
O=C1C=CC(=NO[C](=O)[R])C=C1,O=C1C=CC(=NOC(=O)*)C=C1,quinone oxime ester
O=[C]1N=C[N]([R])[R]1,O=C1N=CN(*)*1,imidazolone core
C=N[N]([R])C(=O)[N]([R])N=C,C=NN(*)C(=O)N(*)N=C,bis-iminohydrazide
C=N[N]([R])C(=O)C(=O)[N]([R])N=C,C=NN(*)C(=O)C(=O)N(*)N=C,oxamide bis-hydrazone
O=C(ON([C](=O)[R])[C](=O)[R])[N]([R])[R],O=C(ON(C(=O)*)C(=O)*)N(*)*,imide carbamate
O=[C]([R])O[N]([R])C[S][R],O=C(*)ON(*)CS*,thiocarbamoyl carbamate
O=C(C=C[N]([R])[C](=O)[R])C1CO1,O=C(C=CN(*)C(=O)*)C1CO1,epoxy enamide ketone
O=[C]([R])[N]([R])C[N]([R])C(=O)[N]([R])[R],O=C(*)N(*)CN(*)C(=O)N(*)*,methylene diamide
O=[S](=O)([R])[N](O)[R],O=S(=O)(*)N(O)*,oxy sulfonamide
O=[C]([R])C=C(C(=O)O)[N]([R])[R],O=C(*)C=C(C(=O)O)N(*)*,beta amino beta carboxy enone
C=C([S][R])C(=O)O,C=C(S*)C(=O)O,α-thioacrylic
O=C(O)C=CC=CC(=O)O,O=C(O)C=CC=CC(=O)O,conjugated diene diacid
C=NC=[N][R],C=NC=N*,purine core
O=C(O)C(=O)O,O=C(O)C(=O)O,oxalate
C=C(Cl)C=C1SC(=S)[N]([R])C1=O,C=C(Cl)C=C1SC(=S)N(*)C1=O,chloropropenylidene rhodanine
O=[C]([R])OCOCOCO[O][R],O=C(*)OCOCOCOO*,polyether peroxide ester
O=[C]([R])C(Br)=C[N]([R])[R],O=C(*)C(Br)=CN(*)*,alpha bromo enaminone
C=C(C(=O)O)[N]([R])C(=O)[O][R],C=C(C(=O)O)N(*)C(=O)O*,acrylamido carboxylate
O=[C]([R])[O][Nar],O=C(*)On,heteroaryl ester
C=CC=C([C](=O)[R])[C](=O)[R],C=CC=C(C(=O)*)C(=O)*,geminal dicarbonyl diene
O=[C]([R])[C]([Nar])=C([C](=O)[R])[N]([R])[R],O=C(*)C(n)=C(C(=O)*)N(*)*,imidazole dicarbonyl
C=C(C(=O)C=N[N]([R])[R])S(=O)(=O)O,C=C(C(=O)C=NN(*)*)S(=O)(=O)O,sulfonated vinyl hydrazone ketone
C=CC(=O)C=N[N]([R])[R],C=CC(=O)C=NN(*)*,enone hydrazone
O=[C]([R])C=C([O][R])[C](=O)[R],O=C(*)C=C(O*)C(=O)*,beta-acyloxy enone
C=NN(C[N]([R])[R])[C](=O)[R],C=NN(CN(*)*)C(=O)*,n-carbonylhydrazone
O=C(C(=CO)[S][R])[N]([R])[R],O=C(C(=CO)S*)N(*)*,thiophene carboxamide
O=C[N]([R])C=O,O=CN(*)C=O,n alkyl imide spacer
O=N[N]([R])[N]([R])[C](=O)[R],O=NN(*)N(*)C(=O)*,nitroso hydrazinyl carboxamide
O=N[S][R],O=NS*,s-nitroso
O=C([N]([R])[R])[N]([R])OS(=O)(=O)[O][Na],O=C(N(*)*)N(*)OS(=O)(=O)O[#11],n acyl sulfamate
O=[S](=O)([R])C=C[N]([R])[R],O=S(=O)(*)C=CN(*)*,benzenesulfonamide
O=C1OCN=C1[S][R],O=C1OCN=C1S*,thiazolidinone n thiocarbamoyl
S=C1[N]([R])C[N]([R])C[N]1[R],S=C1N(*)CN(*)CN1*,"1,3,5-triazinane-2-thione"
S=P([O][R])([O][R])[S][R],S=P(O*)(O*)S*,phosphorodithioate
[C-]#[N+][R],[C&-]#[N&+]*,isocyanides
*[N]([R])[Ru]([O][Ru]([O][Ru]([N](*)[R])([N]([R])[R])([N]([R])[R])([N]([R])[R])[N]([R])[R])([N]([R])[R])([N]([R])[R])([N]([R])[R])[N]([R])[R])([N]([R])[R])([N]([R])[R])([N]([R])[R])[N]([R])[R],*N(*)[#44](O[#44](O[#44](N(*)*)(N(*)*)(N(*)*)(N(*)*)N(*)*)(N(*)*)(N(*)*)(N(*)*)N(*)*)(N(*)*)(N(*)*)(N(*)*)N(*)*,polynuclear ruthenium oxo amine
[R][S]C([N]([R])[R])=[N+]([R])[R],*SC(N(*)*)=[N&+](*)*,thioamidinium
[R][N]([R])C=N[N+]([R])([R])[R],*N(*)C=N[N&+](*)(*)*,n-alkylamidinium
O=C(O)C=C[N]([R])C=CC(=O)O,O=C(O)C=CN(*)C=CC(=O)O,bis(acrylic acid) enamine
[Li][Cl],[#3]Cl,lithium chloride
O=P([O][Na])([O][R])[S][R],O=P(O[#11])(O*)S*,sodium alkoxy alkylthio phosphinate
O=C(O)C1=CSCN1[C](=O)[R],O=C(O)C1=CSCN1C(=O)*,thiazolidinone carboxylic acid n acyl
O=[P](O)([R])OP(=O)(O)[O][R],O=P(O)(*)OP(=O)(O)O*,disubstituted diphosphate
O=C(O)C([O][R])([O][R])C(=O)O,O=C(O)C(O*)(O*)C(=O)O,geminal dioxy propanedioate
O=[S](=O)([R])[N]([R])C[N]([R])[S](=O)(=O)[R],O=S(=O)(*)N(*)CN(*)S(=O)(=O)*,methylene bis sulfonamide
C=C(C(=O)O)N1C(=O)C([O][R])([N]([R])[C](=O)[R])C1[O][R],C=C(C(=O)O)N1C(=O)C(O*)(N(*)C(=O)*)C1O*,7-oxy-7-acylamido cephalosporin
O=[S](O)([R])=[N][R],O=S(O)(*)=N*,sulfonimidoyl
[R][B-]([R])([R])[R],*[B&-](*)(*)*,borate anion
O=S(=O)(O)CO,O=S(=O)(O)CO,hydroxymethyl sulfonic acid
O=S(=O)(O)C[N]([R])[R],O=S(=O)(O)CN(*)*,alpha amino sulfonic acids
O=C([N]([R])[R])[N]([R])C(=O)[N]([R])[R],O=C(N(*)*)N(*)C(=O)N(*)*,dicarbamoylamine
O=[C]1N=C(O)[N]([R])[R]1,O=C1N=C(O)N(*)*1,hydantoin enol
C=N[N]1[R][C](=O)N=C1O,C=NN1*C(=O)N=C1O,hydrazone five dione
[R][N][Cal],*NC,amine
O=[N+]([O-])C=CO[N]([R])[R],O=[N&+]([O&-])C=CON(*)*,nitrovinyl hydroxylamine
