smarts,cleaned_description
[CH2]-[CH]1-[S&v2]-[CH2]-[CH]2-[NH]-C(=O)-[NH]-[CH]12,biotin
"O=[C,S]Oc1aaa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])aa([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C(=O)O),$(C(=O)N)])1",bis activated aryl ester
"[nv3X2]c([c,s,n])[CX4][NX3]([H,C])[CX4]c([c,s,n])[nv3X2,nv3X3H1]",bis picolylamines
S(=O)(=O)-[N;R0]-S(=O)(=O),bis sulfonyl amide
[#6]-[#5](~[#8])~[#8],boronic acid
a1(a2aa(a3aaaaa3)aa(a4aaaaa4)a2)aaaaa1,branched polycyclic aromatic
[#6]=S,c s double bond count
"[#8,#7&v3,#16&v2]-[CH2]-[CH2]-[CH2]-[#8,#7&v3,#16&v2]",c3 linker simple count 3
[#6;-1;!$([#6;-1]~[*;+1])],carbanion
N=C=N,carbodiimides
"[O,S]=C-[F,Cl,Br,I]",carboxyclic acid halides
[#6]-C(=O)[OH],carboxylic acid count 3
"c(-[O,N,S;!$(N[C,S]=O);H1,H2;R0])1c(-[O,N,S;!$(N[C,S]=O);H1,H2;R0])cccc1",catechole
"[Cl,F,Br,I]C([Cl,F,Br,I])([Cl,F,Br,I])C([N,O,S])([N,O,S])C([Cl,F,Br,I])([Cl,F,Br,I])[Cl,F,Br,I]",cf2 cf3 acetal
[C;$(C(F)F)],cf2 cf3 count 3
[C;$(C(F)F)],cf2 cf3 count 5
"[CH]#C-[$([#6]=[#8,#16]),$([#7,#15,#16]=[#8]),$(C#N),$(C(F)(F)F)]",ch alkinyl ewg
"[CH]#C-[c;$(c1n[a;!$(a=*)][a;!$(a=*)][a;!$(a=*)]n1),$(c1n[a;!$(a=*)]n[a;!$(a=*)][a;!$(a=*)]1),$(c1nn[a;!$(a=*)][a;!$(a=*)][a;!$(a=*)]1),$(c1c(-[$([#6,#7,#15,#16]~[#8;X1]),$(C#N),$(C=N)])[a;!$(a=*)][a;!$(a=*)][a;!$(a=*)]n1),$(c1n[a;!$(a=*)]c(-[$([#6,#7,#15,#16]~[#8;X1]),$(C#N),$(C=N)])[a;!$(a=*)][a;!$(a=*)]1),$(c1c(-[$([#6,#7,#15,#16]~[#8;X1]),$(C#N),$(C=N)])[a;!$(a=*)]n[a;!$(a=*)][a;!$(a=*)]1)]",ch alkinyl hetar
"[n;R1;X2;!$([n;R1;X2]1:[a;R2](:[a;R2,R3]):[a;R2](:[a;R2,R3]):[n;R1;X2]aa1);!$([n;R1;X2]1:[a;R2](:[a;R2,R3]):[a;R2](:[a;R2,R3]):[n;R1;X2]a1);!$([n;R1;X2]1:[a;R2](:[a;R2,R3]):[a;R2](:[a;R2,R3]a1):[n;R1;X2]);!$([n;R1;X2]1:[a;R2](:[a;R2,R3]):[a;R2](:[a;R2,R3]aa1):[n;R1;X2])]:[a;R2](:[a;R2,R3]):[a;R2](:[a;R2,R3]):[n;R1;X2;!$([n;R1;X2]1:[a;R2](:[a;R2,R3]):[a;R2](:[a;R2,R3]a1):[n;R1;X2]);!$([n;R1;X2]1:[a;R2](:[a;R2,R3]):[a;R2](:[a;R2,R3]aa1):[n;R1;X2])]",chelator phenathrolin like
Cl~O,chlorates
C=[C!R]-[C!R]=C,conjugated alkenes
SC(=[!r])S,conjugated dithioether
"[$([O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8]),$([O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8]),$([O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][CH,CH2;!r3;!r4;!r5;!r6;!r7;!r8][O,S,#7;R1;!r3;!r4;!r5;!r6;!r7;!r8])]",crown ether
c1ccc2c(c1)ccc(=O)o2,cumarine
N[CH2]C#N,cyanamides
"[#8,#7;!$([#7]=[#6](-[#7])-[#7]);!$([#7]-[#6](=[#7])-[#7]);!$([#7]:[#6](:[#7]):[#7])]-C#N",cyanate
"[#8;H1,$([#8]-[#6,#16,#15]=[#8])]-[#6;X4]-[#6]#[#7]",cyanhydrine
[#7](-[#1])-[#7]=[#6](-[#6]#[#7])-[#6]=[!#6&!#1;!R],cyano imine
"[#6]-,:1(=,:[#6](-,:[#6](=[#8])-,:[#7]-,:[#6](=,:[#7]-,:1)-,:[!#6&!#1])-[#6]#[#7])-[#6]",cyanopyridone 2
"N#C-[#6]1~[#6;X3](~[#16&v2;$(S=C-[NH]),$([SH]-C=N),$([SH]-cn),$(S=c[nH])])~[#7]~[*;a,$(*(=*)-*)]~[*;a,$(*(=*)-*)]~[*;a,$(*(=*)-*)]~1",cyanopyridone 1
C1CC=C1,cyclobutene
O=C1CCCC(N1)=O,cycloheximide derivatives
"O=C(NCC(NC(C(C(CC=,-C)C)=,-[O,N])C(NCC(NCC(NCC(NCC(NCC(NCC(NCC(NC1)=O)=O)=O)=O)=O)=O)=O)=O)=O)CNC1=O",cyclosporine
NC(C[S;D1])C([N;H1]([O;D1]))=O,cysteine hydroxamate
[#7](-[#1])(-[#1])-[#6]-1=[#6](-[#6]#[#7])-[#6](-[#1])(-[#6]:[#6])-[#6](=[#6](-[#7](-[#1])-[#1])-[#16]-1)-[#6]#[#7],dhp bis amino biscyano
"[#8]=[#6]-,:[#6](=[#8])-,:[#7]-,:[#6](=[#8])-,:[#6]=[#8]",di oxalic acid imide
C#CC#C,diacetylene
c([nv3X2])(c)[NX3H1!R]c([nv3X2])(c),diarylamines
O=C-N=!@N,diazo acyl
[#6]~[#7;X2]~[#7;X1],diazonium
"[O,S&v2,N&v3;R0]-[C;X3;R0](=[O,S&v2,N&v3;R0])-[O,S&v2,N&v3;R0]-,=[C;X3;R0](=,-[O,S&v2,N&v3;R0])-[O,S&v2,N&v3;R0]",dicarbonimidic diamide
"[$(N(-C(=O))(-C(=O))(-S(=O))),$(n([#6](=O))([#6](=O))([#16](=O)))]",dicarbonyl sulfonamide
"[#6]=,:[#6](C#N)-,:[#6]=,:[#6]C#N",dicyano vinyl
"[#16]=[#6]-1-[#6]=,:[#6]-[!#6&!#1]-[#6]=,:[#6]-1",diene thione
[#7](-[#6](-[#8])=[#6]1)-[#6](=[#7])-[#6]1=[#7],diimino dihydro pyrrol ol
"[!#6]~[#6](~[!#6])=[#6;!$([#6]1=[#6]-[#7,#8,#16&v2]~[#7,#8,#16&v2,#6&X3]~[#7,#8,#16&v2]1)](~[!#6])~[!#6]",diketene acetals
"[#8,#7v3]=!@[#6;$([#6](-[#6])-[#6]),$([#6;H1]=[#7]);!$([#6]1(=O)-,:[#6](=O)-,:[#6;X3]=,:[#6;X3]-,:[#6;X3]=,:[#6;X3]-,:1);!$([#6]1(=O)-[#6](=O)-[#6]=,:[#6]1)]~[#6;$([#6](-[#6])-[#6]),$([#6;H1]=[#7]);!$([#6]1(=O)-,:[#6](=O)-,:[#6;X3]=,:[#6;X3]-,:[#6;X3]=,:[#6;X3]-,:1);!$([#6]1(=O)-[#6](=O)-[#6]=,:[#6]1)]=!@[#8,#7v3]",diketone 1 2
S1SC=CC1=S,dithiole 2 thione 1
S1C=CSC1=S,dithiole 2 thione 2
"[CH2]=C(-[$([#6]=[#8,#16]),$([#7,#15,#16]=[#8]),$(C#N),$(C(F)(F)F)])-[$([#6]=[#8,#16]),$([#7,#15,#16]=[#8]),$(C#N),$(C(F)(F)F)]",double michael acceptor
[#15],element p count 2
[#16],element s count 2
[!#1;!#6;!#7;!#8;!#9;!#15;!#16;!#17;!#35;!#5;!#14;!#53;!#34],elements forbidden
[!#1;!#6;!#7;!#8;!#9;!#15;!#16;!#17;!#35],elements penalized
"C=!@[#6]1~[#6;X3](~[#8;$(O=C),$(O-C=N),$(O-cn)])~[#7]~[#6;X3](~[#8,#16&v2;$(A=C),$(A-C=N),$(A-cn)])~[#7]~[#6;X3](~[#8;$(O=C),$(O-C=N),$(O-cn)])1",en barbiturates
"[C;!$(C-[#6;X3,X2]);!$(C-[#7,#8,#16])]=!@[C;!$(C-[#6;X3,X2]);!$(C-[#8,#16]);!$(C(-[#7])[#7])]-N",enamine aliphatic
[#6]-1(=[#6])-[#6](-[#7]=[#6]-[#16]-1)=[#8],ene five het
c:1-2:c(:c:c:c:c:1)-[#6](=[#8])-[#6](=[#6])-[#6]-2=[#8],ene five membered one
[#6]=!@[#6](-[!#1])-@[#6](=!@[!#6&!#1])-@[#6](=!@[#6])-[!#1],ene one ene
"[#6]-[#6]=[#6](-[F,Cl,Br,I])-[#6](=[#8])-[#6]",ene one halogen
"[#6](=O)-O-[#6]=[#6;$([#6]-C#N),$([#6]-[#6]=O),$([#6]-S=O)]",enol ester
"[C;!$([#6]1=[#6]-[#6,#7&v3]=,:[#6,#7&v3]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6,#7&v3]=,:[#6,#7&v3]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#6,#7&v3]=,:[#6,#7&v3]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6](=[#8,#7&v3,#16&v2])-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#8]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-1)]=[C;!$([#6]1=[#6]-[#6,#7&v3]=,:[#6,#7&v3]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6,#7&v3]=,:[#6,#7&v3]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#6,#7&v3]=,:[#6,#7&v3]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-[#6](=[#8,#7&v3,#16&v2])-[#8,#7&v3,#16&v2]-1);!$([#6]1=[#6]-[#8]-[#6](=[#8,#7,#16&v2])-[#8,#7&v3,#16&v2]-1)]-O-[#6]",enolether enolester
C=!@CC#C,enyne
C1O[C;H2]1,epoxide terminal
"c12c3cccc1ncc2CC4NC[#6]~[#6]-,=C43",ergot alkoloid
[#6]-[O]-!@C(=O)-[#6],ester count 3
[#6]-[O]-!@C(=O)-[#6],ester count 5
[C;X4]-O-[C;X4],ether bond count 5
"[CH3]-[CH,$(C=C),$(C-[OH])](-[CH3])=,-[CH2,CH&X3,$([CH]-[OH])]-[CH2]-[CH2]-[CH,$(C=C),$(C-[OH])](-[CH3])=,-[CH2,CH&X3,$([CH]-[OH])]-[CH2]-[CH2]-[CH,$(C=C),$(C-[OH])](-[CH3])=,-[CH2,CH&X3,$([CH]-[OH])]-[CH2]",farnesyl geranyl
"C~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@C(=O)-[O,N!$(N-a)]",fatty acid
"c12-,:[#6](=O)-,:[#6]~[#6](-c3ccccc3)-,:[#8]-,:c1cccc2",flavonoid
[C;X4]1-c2ccccc2-c3ccccc3-1,fluorene fmoc
"[#6;$(C14(ccC(=O)O4)c2ccc(-[O,S,N])cc2Oc3ccccc31),$(C1(ccC(=O)O)=C2C=CC(=[O,N,S])C=C2Oc3ccccc31),$(c1(-ccC(=O)O)c2ccc(=[O,N,S])cc2oc3ccccc31)]1(ccC(=O)O)~[#6]2~[#6]~[#6]~[#6]~[#6]~[#6]2~[#8]~c3ccccc31",fluorescein
[#6]-C(=O)-[CH2]-F,fluoro methyl ketone
C#N.C#N.C#N.C#N,four nitriles
"[o,n,s]1[c;R1,$(c-A)][c;R1,$(c-A)][c;R1,$(c-A)][c;R1,$(c-A)]1",furane pyrrole thiophene count 2
C1=CC2c3ccccc3NCC2C1,fused cyclopentene quinolines
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH2][CH](-O2)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]2-O",glycoside 01
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH](-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)]-O2)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]2-O",glycoside 02
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH](-[CX4;$([CH]-O),$([CH]-[N!H0]),H2]-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)]-O2)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]2-O",glycoside 03
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH](-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2]-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)]-O2)[CH]2-O",glycoside 04
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH](-O2)-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2]-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)]-2",glycoside 05
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH2][CH](-O2)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]2-O",glycoside 06
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH](-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)]-O2)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]2-O",glycoside 07
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH](-[CX4;$([CH]-O),$([CH]-[N!H0]),H2]-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)]-O2)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]2-O",glycoside 08
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH](-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2]-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)]-O2)[CH]2-O",glycoside 09
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH](-O2)-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2]-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)]-2",glycoside 10
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH2][CH](-O2)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)](-O)-2",glycoside 11
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH](-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]C(=O)-O)]-O2)-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)](-O)-2",glycoside 12
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH](-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]C(=O)-O)]-O2)-[CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)](-O)-2",glycoside 13
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CH]1-O-[CH2]C(-O2)(-O)-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]C(=O)-O)]-2",glycoside 14
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH2][CH](-O2)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)](-O)-2",glycoside 15
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH](-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]C(=O)-O)]-O2)-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)](-O)-2",glycoside 16
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH](-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]C(=O)-O)]-O2)-[CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)](-O)-2",glycoside 17
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)](-O2)-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2]-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]C(=O)-O)]-2",glycoside 18
"[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]-C(=O)-O)](-O1)[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;H1,$([C]-[CH3]),$([C]-[CH2]-O),$(CC(=O)-O)]1-O-[CH2]C(-O2)(-O)-[CX4;$([CH]-O),$([CH]-[N!H0]),H2][CX4;$([CH]-O),$([CH]-[N!H0]),H2]-[CX4;H2,$([CH]-[CH3]),$([CH]-[CH2]-O),$([CH]C(=O)-O)]-2",glycoside 19
"C[Mg][F,Cl,Br,I]",grignard
N=C(N)N,guanidines
"C~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@[CH2,CH&X3,CX2,$([CH]-[OH])]~!@O-[CH2]-[CH](-O)-[CH2]-O",gylcerol long chain ether
"C#C-[Cl,Br,I]",halo alkynes
"[Cl,Br,I][CX4][CX4][$([O,S,N]*),Cl,Br,I]",halo ether
"C([Cl,Br,I,$(O(S(=O)(=O)))])=C([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])([$(S(=O)(=O)),$(C(F)(F)(F)),$(C#N),$(N(=O)(=O)),$([N+](=O)[O-]),$(C=O)])",halo olefin bis ewg
"[#6]-[#6](-[#6]-[#8,#16]-[c]1:[c](-[#17,#9]):[c]:[c]:[c]:[c]1-[#17,#9])=[#8]",halo phenoxy ketone
"[C;!$(C(Cl)(Cl)Cl);!$(C(F)F)]-[F,Cl,Br,I]",halogen aliphatic count 3
"[Cl,Br,I]-[CX4;!$(C([F,Cl,Br,I])[F,Cl,Br,I])]",halogen alkyl
"[Cl,Br,I]-[CX4;!$(C([F,Cl,Br,I])[F,Cl,Br,I])]",halogen alkyl count 2
"c-[F,Cl,Br,I]",halogen aromatic count 3
"[#8,#7,#15,#16,#14,#5]-[F!$(F-[#14])!$(F-S(=O)(=O)-[#6])!$(F-S(F)(F)),Cl,Br,I]",halogen heteroatom bond
"*~[F,Cl,Br,I]~*",halogen hypervalent
"C=!@C-[F,Cl,Br,I]",halogen vinyl
"[F,Cl,Br,I]-[c;$(c1n[a;!$(a=*)][a;!$(a=*)][a;!$(a=*)]n1),$(c1n[a;!$(a=*)]n[a;!$(a=*)][a;!$(a=*)]1),$(c1nn[a;!$(a=*)][a;!$(a=*)][a;!$(a=*)]1),$(c1c(-[$([#6,#7,#15,#16]~[#8;X1]),$(C#N),$(C=N)])[a;!$(a=*)][a;!$(a=*)][a;!$(a=*)]n1),$(c1n[a;!$(a=*)]c(-[$([#6,#7,#15,#16]~[#8;X1]),$(C#N),$(C=N)])[a;!$(a=*)][a;!$(a=*)]1),$(c1c(-[$([#6,#7,#15,#16]~[#8;X1]),$(C#N),$(C=N)])[a;!$(a=*)]n[a;!$(a=*)][a;!$(a=*)]1)]",halogenated hetero aromates
[#6]-O[CH1](-[#6])[OH1],hemiacetal
[!#6]-[CH2]-N1C(=O)CCC(=O)1,hetero imides
